"","제목","내용","날짜","년","월","일","요일"
"69","클레멘타인","클레멘타인 감독 김두영 제작 2004 한국, 미국 평점 영화봣는데요 솔직히 그냥 괜찮다~ 하는 수준. 스티븐 시걸 좋아하시는들 꼭 보세요 이거 욕하는사람들 무슨원한잇나...",2005-12-28,2005,12,28,"수"
"70","클레멘타인","클레멘타인 감독 김두영 제작 2004 한국, 미국 평점 더이상의 액션은 없다, 노... 이제 한국영화도 헐리웃으로 진출할수있는 가능성이 생겼다. 난 지금 진지하다,",2007-05-08,2007,5,8,"화"
"71","클레멘타인","클레멘타인 감독 김두영 제작 2004 한국, 미국 평점 태권도로 싸우다 쓰러졌는데... 이거 '집으로' 보다 100배 감동적인 영화라고 자부합니다!! 맘 같아서는 철장을...",2005-12-29,2005,12,29,"목"
"72","클레멘타인","2004년 영화들 ' 카테고리의 다른 글 슈렉 2 (0) 2007.12.17 령 - 남상미.김하늘 주연... 줄거리 끼어있으니 조심. (0) 2007.12.17 클레멘타인 (0) 2007.12.16 하류인생 (0) 2007.12.16...",2007-12-16,2007,12,16,"일"
"73","클레멘타인","클레멘타인 감독 김두영 제작 2004 한국, 미국 평점 벅힐벅흐 감독도 요고보고 울었다죠 대한민국에 태어난걸 감사하고있습니다 정말 영화볼줄 모르는 사람들에게...",2006-01-04,2006,1,4,"수"
"74","클레멘타인","클레멘타인 감독 김두영 제작 2004 한국, 미국 평점 아빠일어나!!!! 이대사... 여러분 못보신분 한번보세요 평점만큼 재밌던데 전 갠적으로 이런 스탈에영화좋더군요...",2005-12-29,2005,12,29,"목"
"75","클레멘타인","클레멘타인 감독 김두영 제작 2004 한국, 미국 평점 태권도 홍보에는 최적의 영화다. 재밌긴 재밌었다. 정말루... ㅋㅋㅋㅋㅋ 보면 안다. '아빠 일어나'보다는 스티븐...",2006-07-16,2006,7,16,"일"
"76","클레멘타인","▶클레멘타인 ▶감독 김두영 ▶주연 이동준, 스티븐 시걸, 김혜리, 임 호 액션스타 스티븐 시걸의 출연만으로도 화제가 된 영화. 요즘 인기를 구가하고 있는...",2004-05-21,2004,5,21,"금"
"77","클레멘타인","클레멘타인 감독 김두영 제작 2004 한국, 미국 평점 안녕하십니까 김두영 대... """"에 여러분들에게 감명을 드리고자 합니다 반년이면 충분힐 만들 영화라 이번 2006년에...",2006-01-04,2006,1,4,"수"
"78","양구군, 명예홍보대사 위촉","노 씨는 한국의 대표 프로레슬러로 현재 한국프로레슬링 극동 챔피언이며 영화 ‘클레멘타인’, ‘반칙왕’, ‘천사몽’ 등과 스카이라이프, 맥도날드 CF광고에...",2008-05-08,2008,5,8,"목"
"79","클레멘타인","클레멘타인 감독 김두영 제작 2004 한국, 미국 평점 솔직히 영화 전체는 괜찮다~ 이정도로 봤구요 스티븐시걸 좋아하시는분꼭보세요 전 나름대로 괜찮게봣슴다...",2005-12-28,2005,12,28,"수"
"80","황색눈물(Yellow tears 2007)","밥먹는 동안이야기중 인상깊었던 것은 영화'클레멘타인'에 대한 이야기였다. 스티븐시걸과 이동준 주연의 영화로 흥행참패였는데 네이x평점에 10점만점중에 8.5점, 9점...",2007-07-10,2007,7,10,"화"
"81","이동준","오랜만에 DP에서 영화 <클레멘타인>에 관한 게시물이 올라온 걸 보고 필름 2.0 이동준 인터뷰 글을 읽었다. 이 사람의 인터뷰 글을 읽으면 피식피식 웃음이 나오다가도...",2009-12-10,2009,12,10,"목"
"82","성애의 침묵 (性愛의 침묵: Silence Of Body, 1992)","엠마뉴엘의 대모 실비아 크리스텔님이 한국영화에 흔쾌히 출연했다는 그 영화... ""클레멘타인의 스티븐 시걸""과 오버랩될 수 밖에 없는...하지만 실비아 크리스텔은...",2006-10-23,2006,10,23,"월"
"83","클레멘타인","이토록 허무한 분위기 속에 은서우양께서 가족의 사랑을 설교하는 내용을 참 애같지 않게 말씀하면서 영화도 허무하게 끝난다... 매우 장황하게 클레멘타인의 리뷰를...",2007-01-01,2007,1,1,"월"
"84","막 갖다붙이기","만들어지는군요ㅎㅎ 정말 심심해서 만들어봤어요;;;;; (삼성화재 광고 + 삼성카드 광고 + 영화 클레멘타인 예고편) 이 정도 콘텐츠를 만드는 건 생각보다 어렵지 않군요ㅎㅎ",2010-04-20,2010,4,20,"화"
"85","- Brachetti career -","컬트 영화 ‘ 클레멘타인 탱고 (Clementine Tango) '에서 간교하면서도 감성이 풍부한 양성적이고 악마적인 마술사를 연기 . 이 독립영화는 1 년 이상 파리의...",2007-09-30,2007,9,30,"일"
"86","클레멘타인","영화평이 안 좋죠? ◈ 감독 : 김두영 ◈ 출연 : 이동준, 김혜리, 스티븐 시걸, 은서우... 있는 영화. 태권도 세계챔피언을 3번씩이나 거머쥔 한국의 액션 대배우 ‘준 리...",2004-07-03,2004,7,3,"토"
"87","클레멘타인","알프레드 히치콕 - 나는 그영화를 보기 위해 무덤에서 나왔다. 심형래- 디워를 만든... 헤리슨 포드 - 김두영 감독의 영화에 출연하는 것이 나머지 인생의 가장 큰...",2008-10-31,2008,10,31,"금"
"88","배우가 많이 나오는 영화는 난잡하다?! *주의 - 성인용 미성년자...","돈 걱정만 없다면 얼마든지 헐리우드 슈퍼스타 드림팀으로 배역이 이뤄진 영화를 만들 수 있다. 네티즌 최고의 평가(?)를 받고 있는 한국 영화 클레멘타인 에 스티븐...",2008-11-13,2008,11,13,"목"
"89","태권도 소재 영화 ‘오합지존’ 공개 오디션","<무카스미디어 = 정대길 기자> (2008/01/22) ㅣ 추천수:0 태권도소재 영화 ‘오합지존’ 공개 오디션 태권도 소재 영화 돌려차기와 클레멘타인 ‘태권도시범’을...",2008-01-22,2008,1,22,"화"
"90","나를 실망시킨 2004년도 영화 5편","즉, 기대하지 않은 영화는 아무리 쉣스러워도 (ex. '포가튼', '클레멘타인', '맹부삼천지교') 계산에 넣지 않았습니다. 자, 그럼 들어가봅니다. 트로이 감독 : 볼프강...",2004-12-25,2004,12,25,"토"
"91","대한민국 게임 가수 1호 엄지영 풀 스토리","이동준과 출연료 70억의 시걸이 열연한 영화 ""클레멘타인"" OST등의 흔적 그녀에 관한 묵은 기억들을 떠 올려보며 수면위 출현을 기대하는 마음으로 2009년엔...",2009-03-15,2009,3,15,"일"
"92","조엘. 클레멘타인.","영화에 대한 집착. 뭉글 뭉글 다시 끄집어 내다. joel : I can't see anything I don't like about you. clem: but you will, but you will you will...",2005-04-16,2005,4,16,"토"
"93","오랫만에 본영화....them ㅡ..ㅡ","2002년 루마니아에서 벌어진 실화를 다룬 영화 시간이 어정쩡해서 Them이라는 영화를... 며칠후, 그근처에 살던 여교사 클레멘타인과 소설가인 남친 루까가 실종된다....",2006-04-30,2006,4,30,"일"
"94","괴작열전(怪作列傳) : 북두의 권 - 한국 무협액션 영화의 결정체?","한국 영화사상 최악의 작품으로 평가받는 [긴급조치 19호]나, [클레멘타인]에는 '왜 0점이 없는거냐'고 아우성치던 네티즌들이 [북두의 권]에는 전폭적인 지지를...",2008-01-02,2008,1,2,"수"
"95","영화 '마셰티'의 엽기적인 캐스팅","영화 마셰티 촬영장에서 제시카 알바, 시갈, 대니 트레조, 로베르토 로드리게즈... 전설의 망작 클레멘타인의 그분이니 부가적인 설명은 생략하며(3분 출연 12억 개런티...",2010-04-30,2010,4,30,"금"
"96","[김이연의 골프토크] “임팩트 순간 따귀를 때리듯 쳐라","최근에는 미국에서 영화 ‘클레멘타인’을 촬영하고 개봉까지 끝낸 뒤여서 조금은 한가하고 편안하다고 했다. --영화와 TV드라마 중 어느 쪽을 더 좋아하죠? “영화를 더...",2004-11-10,2004,11,10,"수"
"97","2004년 개봉한 영화들..","법 / 클레멘타인 / 클린 / 킬빌2 / 킹 아더 / 타임라인 / 태극기 휘날리며 / 택시 : 더... 개봉한 영화가 총 276편. 저중 본건 43편.... 올핸 또 얼마나 잼있는 영화가 나올지...",2005-01-07,2005,1,7,"금"
"98","[이번 주말, 이 영화 어떨까?] &lt;하류인생&gt; vs...","한국 영화 <클레멘타인>이 개봉한다. <우나기> 감독: 이마무라 쇼헤이/주연: 야쿠쇼 코지, 시미즈 미사/장르: 드라마/제작국가: 일본/제작년도: 1997/방영일: 2004년 5월...",2007-12-10,2007,12,10,"월"
"99","슈퍼 8밀리 영화 ""My Darling Clementine""","주제곡 《나의 사랑 클레멘타인》의 멜로디도 매우 인상적이다. 이 영화가 대성공을 거둔 후, 여기에 삽임된 미국의 민요도 유명해졌고...",2009-10-08,2009,10,8,"목"
"100","애팔루사 (Appaloosa, 2008) : 에드 해리스의 서부극 영화","[애팔루사]는 앞에서 언급한 두 서부극 영화와 다른 경로를 가는데 존 포드의 [내 사랑 클레멘타인] 등으로 대변되는 고전 서부극들의 경로를 영화를 따라가고 있습니다....",2009-04-05,2009,4,5,"일"
"101","[최가희] 피부미인으로 급부상하는 연기자 겸 모델 최가희","MBC [있을때잘해] SBS [외과의사봉달희] KBS [소문난칠공주] TvN [마이캅] , [키드갱] 온게임넷 [서든어택] MBCevery1 [트리플드라마] 영화 [클레멘타인] , [레드아이]...",2010-09-30,2010,9,30,"목"
"102","<프롬 파리 위드 러브>","바로 이분 저렇게 사람 좋은 미소를 짓고 있지만, 한때는 헐리웃의 악당들을 쓸어 버리는 인간청소기 이셨으며, 특히 2004년작 한국영화 <클레멘타인>에도...",2010-03-30,2010,3,30,"화"
"103","'디시 발영화제', '디 워' 주요 부문 '석권'하나","네이버 영화 평점과 영화 '클레멘타인'의 감독인 이동준 씨가 3위와 4위를 기록하고 있다. 디시 발영화제에서 유일하게 좋은 의도로 주는 상인 '지못미 상'은 작품...",2008-02-20,2008,2,20,"수"
